ujjongott,ujjongtam,10,VERB|PAST|PERS<1>
továbbrepül,továbbrepülök,1,VERB|PERS<1>
rúgtatni,rúgtatnom,1,VERB|INF|PERS<1>
gyulladni,gyulladnom,1,VERB|INF|PERS<1>
becipelt,becipeltem,18,VERB|PAST|PERS<1>
belekapcsolódni,belekapcsolódnom,4,VERB|INF|PERS<1>
feltételez,feltételezek,36,VERB|PERS<1>
feltételezik,feltételezem,114,NOUN[ACT]|VERB|PERS<1>
főzetett,főzettem,40,VERB|PAST|PERS<1>
átballagott,átballagtam,8,VERB|PAST|PERS<1>
ellökött,ellöktem,40,VERB|PAST|PERS<1>
odaszorított,odaszorítottam,24,VERB|PAST|PERS<1>
vakul,vakulok,8,VERB|PERS<1>
odaillene,odaillenék,2,VERB|COND|PERS<1>
tározzon,tározzak,2,VERB|SUBJUNC-IMP|PERS<1>
pontozhat,pontozhatok,2,VERB|MODAL|PERS<1>
sugdosson,sugdossak,3,VERB|SUBJUNC-IMP|PERS<1>
kajtasson,kajtassak,1,VERB|SUBJUNC-IMP|PERS<1>
arányosít,arányosítok,4,VERB|PERS<1>
betemetni,betemetnem,2,VERB|INF|PERS<1>
továbbhullámzik,továbbhullámzom,1,VERB|PERS<1>
elpottyantott,elpottyantottam,3,VERB|PAST|PERS<1>
feltétezik,feltétezek,2,NOUN[ACT]|VERB|PERS<1>
feltétezik,feltétezem,4,NOUN[ACT]|VERB|PERS<1>
bepiszkított,bepiszkítottam,7,VERB|PAST|PERS<1>
eligazít,eligazítok,21,VERB|PERS<1>
előnyomul,előnyomulok,6,VERB|PERS<1>
állomásozik,állomásozok,4,VERB|PERS<1>
eligazítani,eligazítanom,9,VERB|INF|PERS<1>
visszamért,visszamértem,3,VERB|PAST|PERS<1>
csorbítani,csorbítanom,1,VERB|INF|PERS<1>
áthajtott,áthajtottam,60,VERB|PAST|PERS<1>
különváljon,különváljak,2,VERB|SUBJUNC-IMP|PERS<1>
belesüljön,belesüljek,5,VERB|SUBJUNC-IMP|PERS<1>
felhat,felhatok,2,VERB|PERS<1>
szorítana,szorítanék,5,VERB|COND|PERS<1>
hajlik,hajlok,13,VERB|PERS<1>
hajlik,hajlom,8,VERB|PERS<1>
felkísérni,felkísérnem,2,VERB|INF|PERS<1>
reszkíroz,reszkírozok,3,VERB|PERS<1>
koccanna,koccannék,1,VERB|COND|PERS<1>
meggyőzzön,meggyőzzek,12,VERB|SUBJUNC-IMP|PERS<1>
átgázolni,átgázolnom,3,VERB|INF|PERS<1>
átevezhet,átevezhetek,4,VERB|MODAL|PERS<1>
elterelni,elterelnem,6,VERB|INF|PERS<1>
áttérhetne,áttérhetnék,8,VERB|MODAL|COND|PERS<1>
homorítson,homorítsak,1,VERB|SUBJUNC-IMP|PERS<1>
átél,átélek,20,VERB|PERS<1>
egybekel,egybekelek,4,VERB|PERS<1>
próbálkozhatik,próbálkozhatok,2,VERB|MODAL|PERS<1>
próbálkozhatik,próbálkozhatom,4,VERB|MODAL|PERS<1>
elvánszorog,elvánszorgok,6,VERB|PERS<1>
föléled,föléledek,3,VERB|PERS<1>
gyulladna,gyulladnék,2,VERB|COND|PERS<1>
elemezik,elemezem,10,NOUN[ACT]|VERB|PERS<1>
meggyőzött,meggyőztem,52,VERB|PAST|PERS<1>
